#count number_of_seqs length_ofalignment
1 879 579
2 849 449
3 830 397
4 823 395
5 817 344
6 815 334
7 812 323
8 810 319
9 808 316
10 806 313
11 803 310
12 800 308
13 775 301
14 767 295
15 757 276
16 754 269
17 752 268
18 751 266
19 747 262
20 746 264
21 742 259
22 740 253
23 728 244
24 726 242
25 725 241
26 719 242
27 718 238
28 715 238
29 713 237
30 709 233
31 689 225
32 688 214
33 686 206
34 683 204
35 677 206
36 676 203
37 674 207
38 673 205
39 672 202
40 671 200
41 663 199
42 662 199
43 661 198
44 659 196
45 650 194
46 647 191
47 645 191
48 635 190
49 618 192
50 617 187
51 598 186
52 595 185
53 572 183
54 548 182
55 546 180
56 443 208
